soil_texture FAO;Textura reducida( Agroasesor);Fertilicalc;Hydrologic Soil Groups;Rate of drainage;Mineralization texture;LÃ­mites;qFC;;;qWP;;;qFC - qWP;;;;Densidad aparente (g/cm3);;;;Correction factor fK;;;Pc_s_thres (ppm);;;Kc_s_thres (ppm);;;Hydrologic Soil Groups;cn;CEC (meq/kg)
;;;;;;;Min;Max;Prom;Min;Max;Prom;Min;Max;Prom;Def;Min;Max;Prom;Prom;fK_min;fK_max;fK;lower;higher;average;lower;higher;average;;;
Sand;1;1;A;Very high;sandy_texture;(Limo + 1.5 * Arcilla) < 15;0,07;0,17;0,12;0,02;0,07;0,05;0,05;0,11;0,08;0,09;1,7;1,8;1,75;1,49;1,1;1,2;1,15;8;10;9;100;100;100;A;28;30
Loamy sand;1;1;A;Very high;sandy_texture;((Limo + 1.5 * Arcilla) >= 15 And (Limo + 2 * Arcilla) < 30);0,11;0,19;0,15;0,03;0,1;0,07;0,06;0,12;0,09;;1,6;1,7;1,65;1,49;1,1;1,2;1,15;8;10;9;100;100;100;A;28;30
Sandy loam;1;2;B;High;sandy_texture;(Arcilla >= 7 And (Arcilla < 20 And (Arena > 52 And (Limo + 2 * Arcilla) >= 30))) Or (Arcilla < 7 And (Limo < 50 And (Limo + 2 * Arcilla) >= 30));0,18;0,28;0,23;0,06;0,16;0,11;0,11;0,15;0,12;0,12;1,55;1,6;1,58;1,45;1,1;1,2;1,15;10;12;11;150;175;162,5;B;21;75
Loam;2;3;B;High;loam_texture;(Arcilla >= 7 And (Arcilla < 27 And (Limo >= 28 And (Limo < 50 And (Arena <= 52)))));0,2;0,3;0,25;0,07;0,17;0,12;0,13;0,18;0,13;0,13;1,45;1,55;1,5;1,42;1,5;1,7;1,6;10;12;11;150;175;162,5;B;21;100
Silty loam;2;4;C;Medium;loam_texture;(Limo >= 50 And (Arcilla >= 12 And Arcilla < 27)) Or (Limo >= 50 And (Limo < 80 And Arcilla < 12));0,22;0,36;0,29;0,09;0,21;0,15;0,13;0,19;0,14;0,14;1,45;1,55;1,5;1,32;1,5;1,7;1,6;10;12;11;150;175;162,5;C;17;80
Silt;2;4;C;Medium;loam_texture;(Limo >= 80 And Arcilla < 12);0,28;0,36;0,32;0,12;0,22;0,17;0,16;0,2;0,15;;1,4;1,5;1,45;1,3;1,5;1,7;1,6;10;12;11;150;175;162,5;C;17;80
Clay loam;1;4;C;Medium;sandy_texture;(Arcilla >= 20 And (Arcilla < 35 And (Limo < 28 And Arena > 45)));0,16;0,26;0,21;0,03;0,12;0,08;0,06;0,12;0,14;;1,45;1,55;1,5;1,6;1,5;1,7;1,6;10;12;11;150;175;162,5;C;17;80
Sandy clay loam;3;5;D;Medium;clay_texture;(Arcilla >= 27 And (Arcilla < 40 And (Arena > 20 And Arena <= 45)));0,22;0,32;0,27;0,08;0,2;0,14;0,06;0,12;0,13;0,14;1,4;1,5;1,45;1,42;2;2;2;10;12;11;150;175;162,5;D;15;220
Silty clay loam;3;5;D;Low;clay_texture;(Arcilla >= 27 And (Arcilla < 40 And Arena <= 20));0,3;0,37;0,34;0,17;0,24;0,21;0,13;0,18;0,13;;1,45;1,55;1,5;1,4;2;2;2;10;12;11;150;175;162,5;D;15;220
Sandy clay;2;5;D;Low;clay_texture;(Arcilla >= 35 And Arena > 45);0,19;0,29;0,24;0,05;0,14;0,1;0,06;0,12;0,15;;1,35;1,45;1,4;1,51;2;2;2;10;12;11;150;175;162,5;D;15;220
Silty clay;3;5;D;Low;clay_texture;(Arcilla >= 40 And Limo >= 40);0,3;0,42;0,36;0,17;0,29;0,23;0,13;0,19;0,13;;1,4;1,5;1,45;1,38;2,5;5;3,75;10;12;11;150;175;162,5;D;15;220
Clay;3;6;D;Very low;clay_texture;(Arcilla >= 40 And (Arena <= 45 And Limo < 40));0,32;0,4;0,36;0,2;0,24;0,22;0,12;0,2;0,14;0,14;1,35;1,45;1,4;1,39;2,5;5;3,75;12;20;16;200;300;250;D;15;300