crop_type;Dose_irrigation
ALFALFA_GREEN_FLOWERING;2500
ALFALFA_GREEN_VEGETATIVE;2500
ALFALFA_HAY_FLOWERING;2500
ALFALFA_HAY_VEGETATIVE;2500
ALMOND;3000
APPLE;3000
APRICOT;3000
ARTICHOKE;6000
ASPARAGUS_GREEN;6000
ASPARAGUS_WHITE;6000
AVOCADO;3000
BANANA;3000
BARLEY_2_ROW;2500
BARLEY_6_ROW;2500
BEAN_DRY;6000
BEAN_GREEN;6000
BEET;6000
BLACK_EYED_PEA;2500
BLUEGRASS_HAY;6000
BROCCOLI;2500
BROMEGRASS_HAY;2500
BRUSSELS SPROUTS;2500
BUCKWEAHT;2500
CABBAGE;6000
CANARYGRASS_REED_HAY;6000
CARROT;2500
CASSAVA;2500
CASTORBEAN;2500
CAULIFLOWER;2500
CELERY;6000
CHERIMOYA;3000
CHERRY;3000
CHICKPEA_DESI;2500
CHICKPEA_KABULI;2500
CHICORY;6000
CHINESE_YAM;6000
CLOVER_ALSIKE_HAY;2500
CLOVER_CRIMSON_HAY;2500
CLOVER_RED_HAY;2500
CLOVER_WHITE_HAY;2500
CLOVER_WHITE_LADINO_HAY;2500
CORN_GRAIN;6000
COTTON;6000
CUCUMBER;6000
DATEPALM;3000
EGGPLANT;6000
ENDIVE;2500
FABA_BEAN_DRY;2500
FABA_BEAN_GREEN;2500
FESCUE_HAY;2500
FESCUE_MEADOW_HAY;2500
FESCUE_TALL_HAY;2500
FIG;6000
FLAX;6000
GARLIC;2500
GRAPE_TABLE;6000
GRAPE_WINE;6000
GRAPEFRUIT;6000
GRASS_HAY;6000
GRASS_SILAGE;6000
HAZELNUT;2500
KIWI;3000
LEEK;2500
LEMON;3000
LENTIL;2500
LETTUCE_ICEBERG;2500
LETTUCE_ROMAN;2500
MAIZE_SILAGE;6000
MANGO;3000
MELON;6000
MILLET_FINGER;6000
MILLET_FOXTAIL_SILAGE;6000
MILLET_PEARL;6000
MILLET_PROSO;6000
MLLET_PEARL_SILAGE;6000
MUSCK_MELON;6000
OAT;2500
OAT_HAY;2500
OILPALM;3000
OLIVE;3000
ONION;6000
OPIUM_POPPY;6000
ORANGE;3000
ORCHARDGRASS_GREEN_CHOP;2500
ORCHARDGRASS_HAY;2500
PARSLEY;6000
PEA;2500
PEA_GREEN_FRUITS;2500
PEA_GREEN_SEEDS;2500
PEACH;3000
PEANUT_PODS;6000
PEANUT_SEEDS;6000
PEAR;3000
PEPPER_GREEN;6000
PEPPER_RED;6000
PERSIMMON;6000
PLUM;6000
POMEGRANATE;6000
POTATO;6000
PUMPKIN;2500
QUINCE;3000
QUINOA;6000
RADISH;6000
RAPESEED;2500
RICE;6000
RICE_MILLED;6000
RYE;6000
RYE_HAY;6000
RYEGRASS_HAY;6000
SAFFLOWER;2500
SORGHUM_GRAIN;2500
SORGHUM_GREEN;2500
SORGHUM_SILAGE;2500
SOYBEAN;6000
SPINACH;6000
SQUASH_INMATURE;6000
SQUASH_MATURE;6000
STRAWBERRY;2500
SUFLOWER_SEED;6000
SUGARBEET_ROOT;6000
SUGARBEET_ROOT_CROWN;6000
SUGARCANE;2500
SUNFLOWER_OIL;6000
SWEET_CORN_DRY;6000
SWEET_CORN_FRESH;6000
SWEET_POTATO;6000
SWEETCLOVER_HAY;2500
TIMOTHY_HAY;2500
TOBACCO_BURLEY;6000
TOBACCO_FLUE;6000
TOMATO;6000
TREFOIL_HAY;6000
TRITICALE;2500
TURNIP_GREEN_CROP;6000
VETCH_GREEN_FLOWERING;2500
VETCH_HAIRY_HAY;2500
VETCH_HAY;2500
VETCH_HAY_FLOWERING;2500
WALNUT;3000
WATERMELON;6000
WHEAT_BREAD_HARD;2500
WHEAT_BREAD_SOFT;2500
WHEAT_DURUM;2500
WHEATGRASS_HAY;2500
WHITE_YAM;2500
YELLOW_YAM;2500