full name,Increase of Carbon (t  C / ha / year) 
BelgiumOrchard (apple tree. pear tree...),0.1
BelgiumVineyard (vine stock),0.1
BulgariaOrchard (apple tree. pear tree...),0.1
BulgariaVineyard (vine stock),0.1
Czech RepublicOrchard (apple tree. pear tree...),0.1
Czech RepublicVineyard (vine stock),0.1
DenmarkOrchard (apple tree. pear tree...),0.1
DenmarkVineyard (vine stock),0.1
EstoniaOrchard (apple tree. pear tree...),0.1
EstoniaVineyard (vine stock),0.1
IrelandOrchard (apple tree. pear tree...),0.1
IrelandVineyard (vine stock),0.1
germanyOrchard (apple tree. pear tree...),0.1
germanyVineyard (vine stock),0.1
SpainOrchard (apple tree. pear tree...),0.1
SpainVineyard (vine stock),0.1
FranceOrchard (apple tree. pear tree...),0.1
FranceVineyard (vine stock),0.1
ItalyOrchard (apple tree. pear tree...),0.1
ItalyVineyard (vine stock),0.1
CyprusOrchard (apple tree. pear tree...),0.1
CyprusVineyard (vine stock),0.1
LatviaOrchard (apple tree. pear tree...),0.1
LatviaVineyard (vine stock),0.1
LithuaniaOrchard (apple tree. pear tree...),0.1
LithuaniaVineyard (vine stock),0.1
LuxembourgOrchard (apple tree. pear tree...),0.1
LuxembourgVineyard (vine stock),0.1
HungaryOrchard (apple tree. pear tree...),0.1
HungaryVineyard (vine stock),0.1
MaltaVineyard (vine stock),0.1
MaltaOrchard (apple tree. pear tree...),0.1
NetherlandsVineyard (vine stock),0.1
NetherlandsOrchard (apple tree. pear tree...),0.1
AustriaVineyard (vine stock),0.1
AustriaOrchard (apple tree. pear tree...),0.1
PolandVineyard (vine stock),0.1
PolandOrchard (apple tree. pear tree...),0.1
PortugalVineyard (vine stock),0.1
PortugalOrchard (apple tree. pear tree...),0.1
RomaniaVineyard (vine stock),0.1
RomaniaOrchard (apple tree. pear tree...),0.1
SloveniaVineyard (vine stock),0.1
SloveniaOrchard (apple tree. pear tree...),0.1
SlovakiaVineyard (vine stock),0.1
SlovakiaOrchard (apple tree. pear tree...),0.1
FinlandVineyard (vine stock),0.1
FinlandOrchard (apple tree. pear tree...),0.1
SwedenVineyard (vine stock),0.1
SwedenOrchard (apple tree. pear tree...),0.1
United KingdomVineyard (vine stock),0.1
United KingdomOrchard (apple tree. pear tree...),0.1