Feedstuffs,%DM / fresh product,kg CO2 / t crude product,GJ / t crude product
Dairy cows. 18% crude protein. pellet form,0.88,616,4.016
Dairy cows. 20% crude protein. pellet form,0.88,655,4.073
Dairy cows. 22% crude protein. pellet form,0.88,694,4.131
Dairy cows. 25% crude protein. pellet form,0.88,753,4.216
Dairy cows. 30% crude protein. pellet form,0.88,850,4.36
Dairy cows. 35% crude protein. pellet form,0.88,948,4.503
Dairy cows. 40% crude protein. pellet form,0.88,1046,4.646
Suckler cow. 18% crude protein. pellet form,0.88,556,3.618
Suckler cow. 20% crude protein. pellet form,0.88,592,3.686
Suckler cow. 22% crude protein. pellet form,0.88,629,3.754
Suckler cow. 25% crude protein. pellet form,0.88,684,3.855
Suckler cow. 30% crude protein. pellet form,0.88,775,4.024
Suckler cow. 35% crude protein. pellet form,0.88,866,4.194
Suckler cow. 40% crude protein. pellet form,0.88,958,4.363
Mash. pellet form,0.88,513,5.984