Crop_type,EF seeds
ALFALFA_GREEN_FLOWERING,0.9938
ALFALFA_GREEN_VEGETATIVE,0.9938
ALFALFA_HAY_FLOWERING,0.9938
ALFALFA_HAY_VEGETATIVE,0.9938
ALMOND,0.536727273
APPLE,0.536727273
APRICOT,0.536727273
ARTICHOKE,0.536727273
ASPARAGUS_GREEN,0.536727273
ASPARAGUS_WHITE,0.536727273
AVOCADO,0.536727273
BANANA,0.536727273
BARLEY_2_ROW,0.408
BARLEY_6_ROW,0.408
BEAN_DRY,0.95356
BEAN_GREEN,0.95356
BEET,3.54
BLACK_EYED_PEA,0.149
BLUEGRASS_HAY,0.536727273
BROCCOLI,0.536727273
BROMEGRASS_HAY,0.536727273
BRUSSELS SPROUTS,0.536727273
BUCKWHEAT,0.536727273
CABBAGE,0.536727273
CANARYGRASS_REED_HAY,0.536727273
CARROT,0.536727273
CASSAVA,0.536727273
CASTORBEAN,0.536727273
CAULIFLOWER,0.536727273
CELERY,0.536727273
CHERIMOYA,0.536727273
CHERRY,0.536727273
CHICKPEA_DESI,0.536727273
CHICKPEA_KABULI,0.536727273
CHICORY,0.536727273
CHINESE_YAM,0.536727273
CLOVER_ALSIKE_HAY,5.221
CLOVER_CRIMSON_HAY,5.221
CLOVER_RED_HAY,6.4368
CLOVER_WHITE_HAY,5.221
CLOVER_WHITE_LADINO_HAY,6.4368
CORN_GRAIN,0.61588
COTTON,0.536727273
CUCUMBER,0.536727273
DATEPALM,0.536727273
EGGPLANT,0.536727273
ENDIVE,0.536727273
FABA_BEAN_DRY,0.536727273
FABA_BEAN_GREEN,0.536727273
FESCUE_HAY,0.536727273
FESCUE_MEADOW_HAY,0.536727273
FESCUE_TALL_HAY,0.536727273
FIG,0.536727273
FLAX,0.536727273
GARLIC,0.536727273
GRAPE_TABLE,0.536727273
GRAPE_WINE,0.536727273
GRAPEFRUIT,0.536727273
GRASS_HAY,0.536727273
GRASS_SILAGE,0.536727273
HAZELNUT,0.536727273
KIWI,0.536727273
LEEK,0.536727273
LEMON,0.536727273
LENTIL,0.536727273
LETTUCE_ICEBERG,0.536727273
LETTUCE_ROMAN,0.536727273
MAIZE_SILAGE,0.61588
MANGO,0.536727273
MELON,0.536727273
MILLET_FINGER,0.536727273
MILLET_FOXTAIL_SILAGE,0.536727273
MILLET_PEARL,0.536727273
MILLET_PROSO,0.536727273
MLLET_PEARL_SILAGE,0.536727273
MUSCK_MELON,0.536727273
OAT,0.59796
OAT_HAY,0.59796
OILPALM,0.536727273
OLIVE,0.536727273
ONION,0.536727273
OPIUM_POPPY,0.536727273
ORANGE,0.536727273
ORCHARDGRASS_GREEN_CHOP,0.536727273
ORCHARDGRASS_HAY,0.536727273
PARSLEY,0.536727273
PEA,0.149
PEA_GREEN_FRUITS,0.149
PEA_GREEN_SEEDS,0.149
PEACH,0.536727273
PEANUT_PODS,0.536727273
PEANUT_SEEDS,0.536727273
PEAR,0.536727273
PEPPER_GREEN,0.536727273
PEPPER_RED,0.536727273
PERSIMMON,0.536727273
PLUM,0.536727273
POMEGRANATE,0.536727273
POTATO,0.105
PUMPKIN,0.536727273
QUINCE,0.536727273
QUINOA,0.536727273
RADISH,0.536727273
RAPESEED,0.729
RICE,0.536727273
RICE_MILLED,0.536727273
RYE,0.348
RYE_HAY,0.348
RYEGRASS_HAY,0.536727273
SAFFLOWER,0.536727273
SORGHUM_GRAIN,0.536727273
SORGHUM_GREEN,0.536727273
SORGHUM_SILAGE,0.536727273
SOYBEAN,0.4
SPINACH,0.536727273
SQUASH_INMATURE,0.536727273
SQUASH_MATURE,0.536727273
STRAWBERRY,0.536727273
SUFLOWER_SEED,0.773
SUGARBEET_ROOT,3.54
SUGARBEET_ROOT_CROWN,3.54
SUGARCANE,0.0016
SUNFLOWER_OIL,0.773
SWEET_CORN_DRY,0.61588
SWEET_CORN_FRESH,0.61588
SWEET_POTATO,0.536727273
SWEETCLOVER_HAY,0.536727273
TIMOTHY_HAY,0.536727273
TOBACCO_BURLEY,0.536727273
TOBACCO_FLUE,0.536727273
TOMATO,0.536727273
TREFOIL_HAY,0.536727273
TRITICALE,0.576
TURNIP_GREEN_CROP,0.536727273
VETCH_GREEN_FLOWERING,0.536727273
VETCH_HAIRY_HAY,0.536727273
VETCH_HAY,0.536727273
VETCH_HAY_FLOWERING,0.536727273
WALNUT,0.536727273
WATERMELON,0.536727273
WHEAT_BREAD_HARD,0.577
WHEAT_BREAD_SOFT,0.577
WHEAT_DURUM,0.577
WHEATGRASS_HAY,0.536727273
WHITE_YAM,0.536727273
YELLOW_YAM,0.536727273