climate_zone;factor_humidity;rain_a (mm);rain_w (mm);avg_T;ET0;wet/dry;GDD0
Arctic 1;0,100000000000000;1173,858130918790000;586,929065459397000;-20,459483477120800;69,695685790206800;wet;0,000000000000
Arctic 2;0,100000000000000;909,123821999813000;454,561910999906000;-19,050723116139300;95,000805977646400;wet;0,000000000000
Extremely cold and wet 1;0,100000000000000;836,477718609716000;418,238859304858000;-15,684288187293200;140,723844767307000;wet;0,000000000000
Extremely cold and wet 2;0,100000000000000;348,148519950770000;174,074259975385000;-14,722632935435100;165,644732053343000;wet;0,000000000000
Cold and wet;1,930316255361080;1610,357521782550000;805,178760891277000;2,093015782827990;448,369837805074000;wet;1.210,507287491170
Extremely cold and mesic;1,251645596419170;365,714941013364000;182,857470506682000;-9,792326410200420;367,478982480641000;dry;561,217543743089
Cold and mesic;0,926703273010792;538,524509940372000;269,262254970186000;-1,434042724688200;614,535277605685000;dry;1.648,359702605690
Cool temperate and dry;0,768763633318866;436,819422613211000;218,409711306606000;4,552870915185280;848,349816054592000;dry;2.588,350428482860
Cool temperate and xeric;0,674390209672154;273,334931652261000;136,667465826130000;9,186202455847020;1068,166210791000000;dry;3.674,340116217950
Cool temperate and moist;0,921831523534795;1088,318529849420000;544,159264924708000;9,575541732428180;881,710147141429000;wet;3.381,640548744290
Warm temperate and mesic;0,786608566123680;918,740469816693000;459,370234908347000;14,028927415181400;1206,309014950530000;dry;4.923,356354433240
Warm temperate and xeric;0,662330777647335;367,006548822777000;183,503274411389000;16,725012804374100;1453,510228428060000;dry;5.888,047007840750
Hot and mesic;0,768430925303628;1337,260848946680000;668,630424473340000;22,357562751095800;1640,850901378580000;dry;7.939,520883923310
Hot and dry;0,718327341614265;809,975121158291000;404,987560579146000;19,352925146629400;1558,673124919230000;dry;6.845,206780684120
Hot and arid;0,614088245472352;110,955746068238000;55,477873034119200;22,160423285430700;1804,841342663020000;dry;7.875,767517395050
Extremely hot and arid;0,617936407924970;159,306668782915000;79,653334391457600;24,914584388160600;1932,596640473990000;dry;8.881,748756457520
Extremely hot and xeric;0,653854536588741;525,718874182854000;262,859437091427000;27,338495108209000;1984,909431522820000;dry;9.761,830803549450
Extremely hot and moist;0,807515620616669;1878,666230766890000;939,333115383447000;25,406954496281700;1702,016159063240000;wet;9.053,131639845260