type_f;type_f;clasification_fm;vol_group;vola_coeff;Ncf;Pcf;Kcf;Ccf
;;;;;;;;
;;;;;Nitrogen;Phosphorus;Potassium;Carbon
;;Inorganic/organic;Vol_group;Vol_coef;Total;P2O5 total;K2O total;C
Sodium nitrate;type_fm;Inorganic;Other straight N;10;0,15;0;0;
Calcium nitrate;type_fm;Inorganic;Other straight N;10;0,15;0;0;
Magnesium nitrate;type_fm;Inorganic;Other straight N;10;0,11;0;0;
Ammonium sulphate;type_fm;Inorganic;AS;90;0,21;0;0;
Urea;type_fm;Inorganic;Urea;155;0,46;0;0;
Ammonium nitrate 26;type_fm;Inorganic;AN;15;0,26;0;0;
Ammonium nitrate 33%;type_fm;Inorganic;AN;15;0,33;0;0;
Calcium ammonium nitrate;type_fm;Inorganic;CAN;8;0,26;0;0;
Ammonium nitrosulphate;type_fm;Inorganic;AS;90;0,26;0;0;
Calcium cyanamide;type_fm;Inorganic;Other straight N;90;0,2;0;0;
Nitrogen solutions (32%);type_fm;Inorganic;N solutions;98;0,32;0;0;
Urea formaldehyde (UF);type_fm;Inorganic;Urea;155;0,38;0;0;
Isobutylidene diurea (IBDU);type_fm;Inorganic;Urea;155;0,322;0;0;
Crotonylidene diurea (CDU);type_fm;Inorganic;Urea;155;0,325;0;0;
Superphosphate simple;type_fm;Inorganic;noN;0;;0,2;0;
Superphosphate concentrate;type_fm;Inorganic;noN;0;;0,25;0;
Triple superphosphate (TSP);type_fm;Inorganic;noN;0;;0,46;0;
Phosphoric acid;type_fm;Inorganic;noN;0;;0,28;0;
Potassium chloride;type_fm;Inorganic;noN;0;;0;0,6;
Potassium sulphate;type_fm;Inorganic;noN;0;;0;0,44;
Mono-ammonium phosphate (MAP);type_fm;Inorganic;AP;50;0,12;0,61;0;
Di-ammonium phosphate (DAP);type_fm;Inorganic;AP;50;0,18;0,46;0;
Potassium Nitrophosphate;type_fm;Inorganic;NP mixtures;50;0,15;0,3;0,25;
Potassium phosphates;type_fm;Inorganic;noN;0;;0,52;0,34;
Potassium nitrate;type_fm;Inorganic;NK mixtures;15;0,13;0;0,46;
Complex 8-15-15;type_fm;Inorganic;NPK mixtures;50;0,08;0,15;0,15;
Complex 12-12-24;type_fm;Inorganic;NPK mixtures;50;0,12;0,12;0,24;
Complex 15-15-15;type_fm;Inorganic;NPK mixtures;50;0,15;0,15;0,15;
Complex 9-18-27;type_fm;Inorganic;NPK mixtures;50;0,09;0,18;0,27;
Complex 8-24-8;type_fm;Inorganic;NPK mixtures;50;0,08;0,24;0,08;
Complex 8-24-16;type_fm;Inorganic;NPK mixtures;50;0,08;0,24;0,16;
Complex 12-24-8;type_fm;Inorganic;NPK mixtures;50;0,12;0,24;0,08;
Complex 12-24-12;type_fm;Inorganic;NPK mixtures;50;0,12;0,24;0,12;
Complex 9-12-24;type_fm;Inorganic;NPK mixtures;50;0,09;0,12;0,24;
Complex 10-20-10;type_fm;Inorganic;NPK mixtures;50;0,1;0,2;0,1;
Complex 8-16-8;type_fm;Inorganic;NPK mixtures;50;0,08;0,16;0,08;
Complex 18-46-0;type_fm;Inorganic;NPK mixtures;50;0,18;0,46;0;
Complex 10-10-17;type_fm;Inorganic;NPK mixtures;50;0,1;0,1;0,17;
Complex 12-36-12;type_fm;Inorganic;NPK mixtures;50;0,12;0,36;0,12;
Complex 12-8-16;type_fm;Inorganic;NPK mixtures;50;0,12;0,08;0,16;
Suspension 4-16-10;type_fm;Inorganic;NPK mixtures;50;0,04;0,16;0,1;
Suspension 5-10-10;type_fm;Inorganic;NPK mixtures;50;0,05;0,1;0,1;
Suspension 5-20-5;type_fm;Inorganic;NPK mixtures;50;0,05;0,2;0,05;
Suspension 6-12-16;type_fm;Inorganic;NPK mixtures;50;0,06;0,12;0,16;
Suspension 6-16-10;type_fm;Inorganic;NPK mixtures;50;0,06;0,16;0,1;
Suspension 10-20-0;type_fm;Inorganic;NPK mixtures;50;0,1;0,2;0;
Superphosphate 18%;type_fm;Inorganic;noN;0;0;0,18;0;
Superphosphate 45%;type_fm;Inorganic;noN;0;0;0,45;0;
Urea 46%;type_fm;Inorganic;Urea;155;0,46;0;0;
Urea 46%+ Inhibitor;type_fm;Inorganic;Urea;155;0,46;0;0;
Urea 40%+ Sulphur (YARA Sulfamid);type_fm;Inorganic;Urea;155;0,4;0;0;
Ammonium nitrophosphate 26%;type_fm;Inorganic;AP;50;0,26;0;0;
Ammonium nitrophosphate 21%;type_fm;Inorganic;AP;50;0,21;0;0;
Solution N-32;type_fm;Inorganic;N solutions;98;0,32;0;0;
Solution N-20;type_fm;Inorganic;N solutions;98;0,2;0;0;
Solution N-26;type_fm;Inorganic;N solutions;98;0,26;0;0;
Calcium nitrate solution;type_fm;Inorganic;N solutions;98;0,09;0;0;
Magnesium nitrate solution;type_fm;Inorganic;N solutions;98;0,07;0;0;
Nitro33;type_fm;Inorganic;Other straight N;10;0,33;0;0;
Nitroplus;type_fm;Inorganic;Other straight N;10;0,18;0;0;
Ammonium nitrate 33%;type_fm;Inorganic;AN;15;0,333;0;0;
Ammonium nitrate 27% (NAC);type_fm;Inorganic;AN;15;0,27;0;0;
Ammonium nitrate 20%;type_fm;Inorganic;AN;15;0,2;0;0;
Magnesium sulfate;type_fm;Inorganic;noN;0;;0;0;
Ammonium sulfate 21%;type_fm;Inorganic;AS;90;0,21;0;0;
Solfocal-humus;type_fo;organic;NPK mixtures;50;0,03;0,02;0,015;0,25
Azocor 105;type_fo;organic;NPK mixtures;50;0,11;0,015;0,005;0,35
Organfast 14 medium;type_fo;organic;NPK mixtures;50;0,14;0;0;0,4
Italpollina;type_fo;organic;NPK mixtures;50;0,04;0,04;0,04;0,41
horn meal;type_fo;organic;NPK mixtures;50;0,152;0,0029;0,0015;0,474